Pokédex number;IMAGE;Name;Type 1;Type 2;HP;Atk;Def;SpA;SpD;Spe;Total Stats;Ability 1;New Ability Description;Ability 2;Physical Description;Weaknesses;Strengths;Evolution;Evolution Level;Evolution Condition;Overall Rating;Image link;Prompt;Variant ID
57;Image;Solarnova;Psychic;Fire;95;95;80;130;80;120;600;Solar Flare;Raises the power of Fire-type and Psychic-type moves by 50% in sunlight.;;A majestic, sun-shaped Pokémon with a fiery, radiant aura, and psychic energy emanating from its core.;Dark, Ground, Rock, Water, Ghost;Psychic, Fire, Grass, Bug, Ice;Legendary;;;352;https://cdn.discordapp.com/attachments/1083362848203354193/1090386203926331402/Chtibidi_A_majestic_sun-shaped_Pokemon_with_a_fiery_radiant_aur_e9919877-1e6b-4e04-829c-cd852806c9c6.png;"/imagine prompt:Solarnova Legendary Pokemon; Psychic/Fire; A majestic, sun-shaped Pokémon with a fiery, radiant aura, and psychic energy emanating from its core.; detailed; pokemon style; anime style;vibrant colors;limited color palette --q 1.5";
65;Image;Luminaria;Fairy;Psychic;100;100;100;100;100;100;600;Dream Weaver;Puts opposing Pokémon to sleep when they switch in, with a 30% chance to succeed.;;A small, delicate Pokémon with a glowing, star-shaped body and shimmering wings. Its celestial beauty and enchanting form inspire awe and wonder in those who encounter it.;Poison, Steel, Ghost, Dark;Fighting, Psychic, Dragon;Mythical;;;351;https://media.discordapp.net/attachments/1083362848203354193/1090690437163008151/Chtibidi_small_delicate_FairyPsychic_type_Pokemon_glowing_star-_527e8dc2-2db4-4f88-b17a-547b6f814741.png?width=897&height=897;"/imagine prompt:Luminaria Mythical Pokemon; Fairy/Psychic; A small, delicate Pokémon with a glowing, star-shaped body and shimmering wings. Its celestial beauty and enchanting form inspire awe and wonder in those who encounter it.; detailed; pokemon style; anime style;vibrant colors;limited color palette --q 1.5";
66;Image;Serenimbus;Water;Fairy;100;100;100;100;100;100;600;Serene Aura;Boosts the power of Water-type and Fairy-type moves by 50% when HP is below 1/2.;;A serene cloud-like Pokémon with a gentle, glowing aura and soft, wispy features. Its calming presence and ethereal appearance evoke feelings of peace and tranquility.;Poison, Steel, Electric;Fire, Water, Fighting, Dark;Mythical;;;351;https://cdn.discordapp.com/attachments/1083362848203354193/1090387169408974970/Chtibidi_A_serene_cloud-like_FairyPsychic_type_Pokemon_with_a_g_880e0609-b803-4255-bfb9-224bcd05fec0.png;"/imagine prompt:Serenimbus Mythical Pokemon; Water/Fairy; A serene cloud-like Pokémon with a gentle, glowing aura and soft, wispy features. Its calming presence and ethereal appearance evoke feelings of peace and tranquility.; detailed; pokemon style; anime style;vibrant colors;limited color palette --q 1.5";
137;Image;Tremorock ;Rock;Fighting;100;150;110;60;90;90;600;Seismic Power ;Boosts the power of Fighting-type moves by 50% when at maximum HP ;;Tremorock, a muscular, golem-like Pokémon with a sturdy, rock-like body. Its arms and legs are powerful and covered in layers of stone, giving it the appearance of a rock-based martial artist.;;;Final Stage;;;348;https://cdn.discordapp.com/attachments/1083362848203354193/1092531967192486109/Chtibidi_Tremorock_Regular_Pokemon_Rock_Fighting_Tremorock_a_mu_4f9d3df3-58de-4d75-987e-ad360c73617e.png;"/imagine prompt:Tremorock  Regular Pokemon; Rock/Fighting; Tremorock, a muscular, golem-like Pokémon with a sturdy, rock-like body. Its arms and legs are powerful and covered in layers of stone, giving it the appearance of a rock-based martial artist.; detailed; pokemon style; anime style;vibrant colors;limited color palette --q 1.5";
95;Image;Stardance;Psychic;Fairy;85;65;95;130;110;115;600;Synchronize;;Levitate;Stardance is an elegant, star-shaped Pokémon that embodies the beauty and mystery of the cosmos. Its psychic and fairy attributes are reflected in its stunning swirling cosmic design, which adorns its entire body, reminiscent of a galaxy filled with twinkling stars. Delicate, fairy-like wings extend from its sides, shimmering with iridescent colors and allowing it to float gracefully through the air. Its large, expressive eyes sparkle like distant stars, captivating all who gaze upon it. ;Dark, Ghost, Steel, Poison;Psychic, Fighting, Dragon;Final Stage;;;348;https://cdn.discordapp.com/attachments/1083362848203354193/1090993701200859146/Chtibidi_Stardance_Regular_Pokemon_PsychicFairy_Stardance_is_an_98a8e1b8-496d-4bb8-97e9-23985368cc1d.png;"/imagine prompt:Stardance Regular Pokemon; Psychic/Fairy; Stardance is an elegant, star-shaped Pokémon that embodies the beauty and mystery of the cosmos. Its psychic and fairy attributes are reflected in its stunning swirling cosmic design, which adorns its entire body, reminiscent of a galaxy filled with twinkling stars. Delicate, fairy-like wings extend from its sides, shimmering with iridescent colors and allowing it to float gracefully through the air. Its large, expressive eyes sparkle like distant stars, captivating all who gaze upon it. ; detailed; pokemon style; anime style;vibrant colors;limited color palette --q 1.5";
29;Image;Terravipera;Ground;Poison;100;95;95;90;100;120;600;Earth Barrier;When hit by a Ground or Poison move, raises Speed by one stage;;A serpentine Pokémon with rocky scales and venomous fangs. Its sinuous form and deadly glare strike fear into its adversaries.;Water, Ice, Psychic, Ground;Ground, Poison;Legendary;;;346;https://cdn.discordapp.com/attachments/1083362848203354193/1090777736659869746/Chtibidi_Terravipera_Legendary_Pokemon_GroundPoison_A_serpentin_4a5f4305-c5bc-4eb8-94ec-dbe3603ab69e.png;"/imagine prompt:Terravipera Legendary Pokemon; Ground/Poison; A serpentine Pokémon with rocky scales and venomous fangs. Its sinuous form and deadly glare strike fear into its adversaries.; detailed; pokemon style; anime style;vibrant colors;limited color palette --q 1.5";
120;Image;Garchomp-Alteon;Dragon;Ground;108;90;85;130;95;92;600;Terraforce;Boosts the power of Ground-type moves by 50% when hit by a Dragon-type move;;Garchomp-Alteon features a more serpentine body, with smoother scales and elongated limbs. Its coloration has shifted to a blend of earthy browns and deep blues. The scythe-like fins on its arms are now larger, resembling tectonic plates, and its tail has a spiked, drill-like structure at the end, perfect for burrowing into the ground.;;;Variant;;;343;https://cdn.discordapp.com/attachments/1083362848203354193/1092035483648921640/Chtibidi_Garchomp-Alteon_Regular_Pokemon_DragonGround_coloratio_bf206345-eede-4491-b630-d41962179dc0.png;"/imagine prompt:Garchomp-Alteon Regular Pokemon; Dragon/Ground; Garchomp-Alteon features a more serpentine body, with smoother scales and elongated limbs. Its coloration has shifted to a blend of earthy browns and deep blues. The scythe-like fins on its arms are now larger, resembling tectonic plates, and its tail has a spiked, drill-like structure at the end, perfect for burrowing into the ground.; detailed; pokemon style; anime style;vibrant colors;limited color palette --q 1.5";
85;Image;Terracrusher;Ground;Fighting;95;130;120;60;100;90;595;Guts;Boosts Attack if there is a status condition.;Iron Fist;Terracrusher is a large, powerful raccoon-like Pokémon with an intimidating presence. This Ground and Fighting-type creature boasts a muscular build, and its thick, rugged fur provides additional protection during battles. Its most striking features are the massive arms, equipped with powerful fists that pack a devastating punch. Its fierce eyes and determined expression demonstrate its readiness to dominate in combat, making Terracrusher a formidable opponent for any challenger.;Water, Psychic, Ice, Flying, Grass;Ground, Rock, Dark, Steel;Final Stage;;;342;https://cdn.discordapp.com/attachments/1083362848203354193/1091017144516481105/Chtibidi_Terracrusher_Regular_Pokemon_GroundFighting_Terracrush_14a322fc-ecb7-40e7-8a50-dbb51190a923.png;"/imagine prompt:Terracrusher Regular Pokemon; Ground/Fighting; Terracrusher is a large, powerful raccoon-like Pokémon with an intimidating presence. This Ground and Fighting-type creature boasts a muscular build, and its thick, rugged fur provides additional protection during battles. Its most striking features are the massive arms, equipped with powerful fists that pack a devastating punch. Its fierce eyes and determined expression demonstrate its readiness to dominate in combat, making Terracrusher a formidable opponent for any challenger.; detailed; pokemon style; anime style;vibrant colors;limited color palette --q 1.5";
114;Image; Thunderouge;Electric;Normal;85;95;85;120;85;130;600; Static;; Galvanize;Thunderouge is an impressive large feline Pokémon with a unique Electric and Normal typing. Its sleek, agile body is adorned with a striking lightning bolt-shaped pattern that runs along its fur, giving it an electrifying appearance. The crackling electric tail not only serves as a powerful weapon but also adds to Thunderouge's captivating presence. Its keen eyes and agile movements reflect the speed and power it possesses.; Ground, Fighting; Electric, Normal, Psychic;Final Stage;;;342;https://cdn.discordapp.com/attachments/1083362848203354193/1091110801781301359/image.png;"/imagine prompt: Thunderouge Regular Pokemon; Electric/Normal; Thunderouge is an impressive large feline Pokémon with a unique Electric and Normal typing. Its sleek, agile body is adorned with a striking lightning bolt-shaped pattern that runs along its fur, giving it an electrifying appearance. The crackling electric tail not only serves as a powerful weapon but also adds to Thunderouge's captivating presence. Its keen eyes and agile movements reflect the speed and power it possesses.; detailed; pokemon style; anime style;vibrant colors;limited color palette --q 1.5";
60;Image;Nebulavale;Ghost;Flying;85;70;75;130;110;130;600;Nebulous Drift;This Pokémon's evasiveness increases in foggy or misty conditions.;;A ghostly, swirling cloud of mist and dark energy with ethereal wings. Its eerie and haunting presence is both intriguing and unsettling.;Electric, Ice, Rock, Ghost, Dark;Ghost, Flying, Psychic, Grass;Legendary;;;341;https://cdn.discordapp.com/attachments/1083362848203354193/1090780525234503681/Chtibidi_Nebulavale_Legendary_Pokemon_GhostFlying_A_ghostly_swi_170b87d2-80bd-440e-adf6-04c8a6f862e5.png;"/imagine prompt:Nebulavale Legendary Pokemon; Ghost/Flying; A ghostly, swirling cloud of mist and dark energy with ethereal wings. Its eerie and haunting presence is both intriguing and unsettling.; detailed; pokemon style; anime style;vibrant colors;limited color palette --q 1.5";
59;Image;Galacteon;Steel;Electric;105;90;120;110;100;75;600;Galactic Surge;Electric-type and Steel-type moves have a 30% chance to paralyze opponents.;;A sleek, metallic Pokémon resembling a futuristic spacecraft, adorned with glowing electric circuits.;Fire, Fighting, Ground;Electric, Steel, Flying, Fairy;Legendary;;;341;https://cdn.discordapp.com/attachments/1083362848203354193/1090778726238793768/Chtibidi_Galacteon_Legendary_Pokemon_SteelElectric_A_sleek_meta_3bca7b1c-61cf-406d-a507-f8bafb297b67.png;"/imagine prompt:Galacteon Legendary Pokemon; Steel/Electric; A sleek, metallic Pokémon resembling a futuristic spacecraft, adorned with glowing electric circuits.; detailed; pokemon style; anime style;vibrant colors;limited color palette --q 1.5";
28;Image;Hydrotigris;Water;Ice;100;90;100;130;95;85;600;Torrent Barrier;When hit by a Water or Ice move, raises Special Attack by one stage;;Aquatic tiger, icy fur, frosty fangs;Electric, Grass, Fighting, Rock;Water, Ice;Legendary;;;338;https://cdn.discordapp.com/attachments/1083362848203354193/1090774352619900949/Chtibidi_Hydrotigris_Legendary_Pokemon_Water_Aquatic_tiger_icy__46c800c6-fd9d-425c-bb22-e7390f6e89be.png;"/imagine prompt:Hydrotigris Legendary Pokemon; Water/Ice; Aquatic tiger, icy fur, frosty fangs; detailed; pokemon style; anime style;vibrant colors;limited color palette --q 1.5";
27;Image;Pyroscalion;Fire;Steel;100;130;90;95;100;85;600;Blaze Barrier;When hit by a Fire or Steel move, raises Attack by one stage;;Fiery lion, metallic mane, ember-filled eyes;Water, Ground, Fighting;Fire, Steel, Bug;Legendary;;;338;https://media.discordapp.net/attachments/1083362848203354193/1090771751195136101/Chtibidi_Pyroscalion_Legendary_Pokemon_Fire_Fiery_lion_metallic_288836ea-ef40-4995-9848-95faa0e68c5c.png?width=897&height=897;"/imagine prompt:Pyroscalion Legendary Pokemon; Fire/Steel; Fiery lion, metallic mane, ember-filled eyes; detailed; pokemon style; anime style;vibrant colors;limited color palette --q 1.5";
63;Image;Chronalith;Psychic;Rock;100;110;140;80;140;30;600;Time Keeper;Heals the Pokémon by 1/16 of its maximum HP every turn when Trick Room is active.;;An ancient, mysterious stone-like Pokémon with time-representing inscriptions. Its enigmatic nature sparks curiosity and fascination.;Water, Grass, Bug, Ghost, Dark, Steel;Psychic, Rock, Flying, Poison, Fire;Legendary;;;338;https://cdn.discordapp.com/attachments/1083362848203354193/1090781368595796058/Chtibidi_Chronalith_Legendary_Pokemon_PsychicRock_An_ancient_my_cbd45d0a-853c-45bc-9475-6196e963ded4.png;"/imagine prompt:Chronalith Legendary Pokemon; Psychic/Rock; An ancient, mysterious stone-like Pokémon with time-representing inscriptions. Its enigmatic nature sparks curiosity and fascination.; detailed; pokemon style; anime style;vibrant colors;limited color palette --q 1.5";
3;#VALUE!;Aquaphoon;Water;Flying;90;100;85;110;80;130;595;Swift Swim;;Drizzle;Sleek dolphin-like body, large wings, water crest;Electric, Grass, Rock;Water, Fire, Ground, Bug;Final Stage;;;337;;"/imagine prompt:Aquaphoon Regular Pokemon; Water/Flying; Sleek dolphin-like body, large wings, water crest; detailed; pokemon style; anime style;vibrant colors;limited color palette --q 1.5";
110;#VALUE!; Solarouge;Fire;Normal;85;110;85;100;85;130;595; Blaze;; Solar Power; Large feline creature with a majestic sun-shaped pattern on its fur and a blazing tail; Water, Ground, Rock; Fire, Normal, Psychic;Final Stage;;;336;;"/imagine prompt: Solarouge Regular Pokemon; Fire/Normal;  Large feline creature with a majestic sun-shaped pattern on its fur and a blazing tail; detailed; pokemon style; anime style;vibrant colors;limited color palette --q 1.5";
112;#VALUE!; Lunarouge;Water;Normal;85;100;85;110;85;130;595; Torrent;; Swift Swim; Large feline creature with a captivating moon-shaped pattern on its fur and a flowing watery tail; Electric, Grass, Fighting; Water, Normal, Psychic;Final Stage;;;335;;"/imagine prompt: Lunarouge Regular Pokemon; Water/Normal;  Large feline creature with a captivating moon-shaped pattern on its fur and a flowing watery tail; detailed; pokemon style; anime style;vibrant colors;limited color palette --q 1.5";
61;#VALUE!;Aurorashine;Ice;Dragon;100;120;90;120;90;80;600;Polar Radiance;Boosts the power of Ice-type and Dragon-type moves by 50% in hail.;;A serpentine dragon adorned with icy crystals and shimmering scales reflecting the aurora borealis. Its graceful form and beauty are mesmerizing.;Dragon, Rock, Steel, Fairy, Fighting;Ice, Dragon, Ground, Water, Flying;Legendary;;;329;;"/imagine prompt:Aurorashine Legendary Pokemon; Ice/Dragon; A serpentine dragon adorned with icy crystals and shimmering scales reflecting the aurora borealis. Its graceful form and beauty are mesmerizing.; detailed; pokemon style; anime style;vibrant colors;limited color palette --q 1.5";
79;#VALUE!;Dracolupus;Dragon;Normal;95;130;80;90;80;100;575;Multiscale;Reduces damage when HP is full.;Strong Jaw;A majestic, powerful dragon-like wolf with a muscular body and wings.;Dragon, Fighting, Ice;Normal, Fire, Water;Final Stage;;;326;;"/imagine prompt:Dracolupus Regular Pokemon; Dragon/Normal; A majestic, powerful dragon-like wolf with a muscular body and wings.; detailed; pokemon style; anime style;vibrant colors;limited color palette --q 1.5";
64;Image;Floraphoenix;Fire;Grass;110;130;90;105;100;65;600;Floraflame;Boosts the power of Fire-type and Grass-type moves by 50% when HP is below 1/3.;;A fiery phoenix with a trail of vibrant, blooming flowers, symbolizing rebirth and growth. Its stunning form and brilliant colors inspire awe.;Fire, Flying, Poison, Rock, Water, Ice;Fire, Grass, Ground, Fairy, Bug;Legendary;;;323;https://cdn.discordapp.com/attachments/1083362848203354193/1090781528621064212/Chtibidi_Floraphoenix_Legendary_Pokemon_FireGrass_A_fiery_phoen_5e610df1-7618-4a02-881f-82bb36d987e7.png;"/imagine prompt:Floraphoenix Legendary Pokemon; Fire/Grass; A fiery phoenix with a trail of vibrant, blooming flowers, symbolizing rebirth and growth. Its stunning form and brilliant colors inspire awe.; detailed; pokemon style; anime style;vibrant colors;limited color palette --q 1.5";
47;#VALUE!;Frostalon;Ice;Flying;85;110;80;95;85;125;580;Snow Cloak;During hail, the Pokémon's evasiveness increases by 20%. This ability works in conjunction with the Snow Warning ability or any other effect that causes hail, making the Pokémon harder to hit with moves during hail.;Keen Eye;Large bird with icy feathers, sharp beak, and impressive wingspan;Fire, Rock, Electric, Steel;Ice, Flying, Ground, Grass;Final Stage;;;323;;"/imagine prompt:Frostalon Regular Pokemon; Ice/Flying; Large bird with icy feathers, sharp beak, and impressive wingspan; detailed; pokemon style; anime style;vibrant colors;limited color palette --q 1.5";
42;#VALUE!;Stormind;Psychic;Flying;85;70;90;120;100;110;575;Magic Bounce;None;Keen Eye;Larger cloud-like creature with a more intense psychic energy and bird-like wings;Electric, Ice, Rock, Ghost, Dark;Psychic, Flying, Fighting, Ground;Final Stage;;;322;;"/imagine prompt:Stormind Regular Pokemon; Psychic/Flying; Larger cloud-like creature with a more intense psychic energy and bird-like wings; detailed; pokemon style; anime style;vibrant colors;limited color palette --q 1.5";
10;#VALUE!;Galefang;Dark;Flying;85;115;80;95;80;120;575;Intimidate;;Gale Wings;Wolf-like, larger wings, dark mist around;Electric, Ice, Rock, Fairy;Psychic, Ghost, Dark, Grass;Final Stage;;;322;;"/imagine prompt:Galefang Regular Pokemon; Dark/Flying; Wolf-like, larger wings, dark mist around; detailed; pokemon style; anime style;vibrant colors;limited color palette --q 1.5";
99;#VALUE!;Zephyraptor;Electric;Flying;85;95;80;105;90;125;580;Static;;Motor Drive;Large bird of prey with electrically charged feathers and wind-shaped wings;Rock, Ice, Ground;Electric, Flying, Bug, Grass;Final Stage;;;321;;"/imagine prompt:Zephyraptor Regular Pokemon; Electric/Flying; Large bird of prey with electrically charged feathers and wind-shaped wings; detailed; pokemon style; anime style;vibrant colors;limited color palette --q 1.5";
69;#VALUE!;Moonalope;Fairy;Psychic;95;95;80;120;100;90;580;Moonlit Grace;When a Pokémon with the Moonlit Grace ability enters the battle, it sets up a moonlight condition for 5 turns. The moonlight condition boosts the power of Dark-type and Fairy-type moves by 50%;;An elegant, jackalope-like Pokémon with a crescent moon marking on its forehead and antlers resembling branches adorned with shimmering, moonlit leaves. Its fur emits a soft glow, and its eyes hold a deep wisdom.;Steel, Poison, Ghost, Dark;Dark, Bug, Fighting, Psychic;Final Stage;;;320;;"/imagine prompt:Moonalope Regular Pokemon; Fairy/Psychic; An elegant, jackalope-like Pokémon with a crescent moon marking on its forehead and antlers resembling branches adorned with shimmering, moonlit leaves. Its fur emits a soft glow, and its eyes hold a deep wisdom.; detailed; pokemon style; anime style;vibrant colors;limited color palette --q 1.5";
127;#VALUE!;Balanquill;Normal;Ghost;95;95;95;95;95;95;570;Equilibrium;When hit by a super-effective move, raises the lowest stat by one stage;;Balanquill is a medium-sized, owl-like Pokémon with a unique, balanced design. Its body is divided into two distinct halves, with one side being white and feathery, while the other side appears ghostly, translucent, and ethereal. Its eyes are mismatched—one is golden and the other a glowing purple—symbolizing the balance between life and the afterlife.;;;Single stage;;;316;;"/imagine prompt:Balanquill Regular Pokemon; Normal/Ghost; Balanquill is a medium-sized, owl-like Pokémon with a unique, balanced design. Its body is divided into two distinct halves, with one side being white and feathery, while the other side appears ghostly, translucent, and ethereal. Its eyes are mismatched—one is golden and the other a glowing purple—symbolizing the balance between life and the afterlife.; detailed; pokemon style; anime style;vibrant colors;limited color palette --q 1.5";
